"YEAR","Wwheat_FLOWER_AVG_MAXT","Pea_FLOWER_AVG_MAXT","Swheat_FLOWER_AVG_MAXT","Oat_FLOWER_AVG_MAXT","Can_FLOWER_AVG_MAXT","Soy_FLOWER_AVG_MAXT","Corn_FLOWER_AVG_MAXT","MarApr_PRECIP","AprMay_PRECIP","MayJun_PRECIP","JunJul_PRECIP","JulAug_PRECIP","AugSep_PRECIP","MarApr_MEANT","AprMay_MEANT","MayJun_MEANT","JunJul_MEANT","JulAug_MEANT","AugSep_MEANT"
"2000",21.9722222222222,27.2988888888889,25.0955555555556,21.9111111111111,22.3377777777778,29.158,26.7344444444444,1.508,6.3086,13.7,10.0424,5.826,1.762,3.83516129032258,11.721,16.3683870967742,20.9066666666667,20.6367741935484,18.4429032258065
"2001",20.3711111111111,26.1711111111111,26.2944444444444,24.4422222222222,23.64,27.777,28.0866666666667,2.9812,1.3556,8.1882,4.7846,7.1722,4.4544,0.414193548387097,12.7293333333333,15.4277419354839,21.2866666666667,23.5651612903226,19.2474193548387
"2002",26.35,25.5522222222222,25.3333333333333,25.08,27.1033333333333,32.277,30.6177777777778,1.1524,1,6.1562,6.0546,11.1092,5.5466,-0.230645161290323,8.072,16.1712903225806,23.8413333333333,22.1154838709677,19.8174193548387
"2003",18.8255555555556,22.6522222222222,25.5544444444444,28.1488888888889,28.2111111111111,28.39,27.9,1,11.8712,5.699,9.2804,8.2898,8.5692,5.80645161290323,9.518,14.7409677419355,20.8793333333333,20.8329032258065,19.5967741935484
"2004",23.2744444444444,24.2622222222222,23.8288888888889,22.9388888888889,21.9377777777778,24.18,24.21,2.6764,5.4958,20.4564,14.2842,4.1242,4.3274,4.14032258064516,10.8706666666667,15.0177419354839,18.0833333333333,18.9948387096774,17.988064516129
"2005",23.5977777777778,23.2966666666667,23.2511111111111,26.33,28.5766666666667,26.291,26.9255555555556,5.8514,6.08,16.367,8.1374,4.81,18.9578,5.68903225806452,8.66933333333333,16.7148387096774,22.38,21.2364516129032,18.9622580645161
"2006",27.4188888888889,23.5444444444444,22.8755555555556,25.7833333333333,25.9944444444444,27.908,32.5077777777778,6.334,9.0264,4.8354,4.556,12.303,20.177,4.67548387096774,9.58433333333333,18.5616129032258,20.9916666666667,22.7058064516129,17.2361290322581
"2007",23.2722222222222,26.73,26.73,26.6044444444444,26.9755555555556,28.446,30.8022222222222,7.9088,8.6454,9.1788,1.8128,7.4262,9.9662,2.02677419354839,14.3226666666667,17.4435483870968,20.9173333333333,22.3851612903226,17.0170967741935
"2008",22.1177777777778,21.6444444444444,21.7622222222222,24.48,25.32,26.47,27.0877777777778,3.4384,7.4262,14.8684,2.3462,8.3914,2.1684,0.397741935483871,7.97,15.0429032258065,20.1063333333333,21.1993548387097,16.6412903225806
"2009",16.6977777777778,17.6455555555556,20.3911111111111,25.41,26.8155555555556,25.243,24.6377777777778,3.413,5.8768,6.8928,16.5448,5.699,4.2004,2.30451612903226,10.0006666666667,14.4170967741935,20.4146666666667,18.8403225806452,17.2825806451613
"2010",22.9722222222222,21.2622222222222,22.3677777777778,24.2222222222222,26.2244444444444,27.088,27.0955555555556,1.254,8.366,17.8656,14.335,16.2654,18.0942,7.0001935483871,9.3959,17.8816129032258,21.347,22.5364516129032,18.2832258064516
"2011",26.1122222222222,21.9155555555556,20.0011111111111,23.6422222222222,23.0866666666667,29.5,30.2477777777778,4.6068,8.7724,13.7508,18.2466,5.6736,3.5654,2.55870967741935,6.90333333333333,15.8870967741935,21.028,23.5935483870968,18.4409677419355
"2012",25.7077777777778,26.8388888888889,26.1633333333333,27.0844444444444,27.6022222222222,31.272,30.4333333333333,5.2164,14.4366,12.8364,3.9464,11.1346,2.778,10.6103225806452,11.8106666666667,18.0348387096774,23.2416666666667,22.5441935483871,19.0961290322581
"2013",18.1555555555556,22.3944444444444,24.2422222222222,27.1088888888889,26.7166666666667,28.303,23.0533333333333,2.2446,5.0386,14.335,19.4658,4.556,1.4064,-2.56612903225806,6.57366666666667,15.3751612903226,22.168,18.9506451612903,21.578064516129
"2014",21.97,21.13,22.3433333333333,24.9233333333333,25.9444444444444,25.071,24.2244444444444,1.7366,8.4168,13.7254,8.9756,9.6868,8.2898,1.18354838709677,8.22266666666667,17.2935483870968,19.8756666666667,19.3974193548387,17.1522580645161
"2015",25.6655555555556,26.14,24.3377777777778,24.5577777777778,23.8022222222222,24.267,28.5077777777778,1.5842,4.6322,11.1854,8.4168,13.0142,11.5664,5.18193548387097,11.1803333333333,16.0958064516129,19.8976666666667,21.7312903225806,17.7916129032258
"2016",23.62,29.5911111111111,30.1466666666667,30.6033333333333,28.9544444444444,26.691,28.78,3.2098,7.8834,9.255,19.3134,17.5354,11.4394,3.70783870967742,11.12,18.0222580645161,21.4026666666667,22.3135483870968,19.0716129032258
