"YEAR","ROTATION","CYCLE","PLOT","REP","TRT","CURRENT","CURRENT_SIMPLE","PREVIOUS","PREVIOUS_SIMPLE","PREV_GROUP","WINTER_PLANT","NSPECIES","CROP_DIV","LENGTH","AGE","YIELD","CYCLE_YEAR","HAS_CROP_FAIL","IMPUTED"
"2001","CCaWwS","1",102,"1",13,"Corn","Corn","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,3688,"1",FALSE,FALSE
"2001","CCaWwS","1",317,"3",15,"Wwheat","Wheat","Swheat","Wheat","C3",TRUE,4,1.386294361,4,1,4322,"1",FALSE,FALSE
"2001","CCaWwS","1",121,"1",15,"Wwheat","Wheat","Swheat","Wheat","C3",TRUE,4,1.386294361,4,1,3931,"1",FALSE,FALSE
"2001","CCaWwS","1",215,"2",16,"Soy","Soy","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,1403,"1",FALSE,FALSE
"2001","CCaWwS","1",237,"2",15,"Wwheat","Wheat","Swheat","Wheat","C3",TRUE,4,1.386294361,4,1,4453,"1",FALSE,FALSE
"2001","CCaWwS","1",103,"1",16,"Soy","Soy","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,929,"1",FALSE,FALSE
"2001","CCaWwS","1",415,"4",16,"Soy","Soy","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,941,"1",FALSE,FALSE
"2001","CCaWwS","1",436,"4",14,"Can","Can","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,835,"1",FALSE,FALSE
"2001","CCaWwS","1",109,"1",14,"Can","Can","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,754,"1",FALSE,FALSE
"2001","CCaWwS","1",308,"3",16,"Soy","Soy","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,1260,"1",FALSE,FALSE
"2001","CCaWwS","1",335,"3",13,"Corn","Corn","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,3272,"1",FALSE,FALSE
"2001","CCaWwS","1",417,"4",13,"Corn","Corn","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,4660,"1",FALSE,FALSE
"2001","CCaWwS","1",414,"4",15,"Wwheat","Wheat","Swheat","Wheat","C3",TRUE,4,1.386294361,4,1,3956,"1",FALSE,FALSE
"2001","CCaWwS","1",208,"2",14,"Can","Can","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,558,"1",FALSE,FALSE
"2001","CCaWwS","1",325,"3",14,"Can","Can","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,956,"1",FALSE,FALSE
"2001","CCaWwS","1",236,"2",13,"Corn","Corn","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,2773,"1",FALSE,FALSE
"2001","CCSSw","1",305,"3",21,"Corn","Corn","Swheat","Wheat","C3",FALSE,3,1.039720771,4,1,4404,"1",FALSE,FALSE
"2001","CCSSw","1",403,"4",23,"Soy","Soy","Swheat","Wheat","C3",FALSE,3,1.039720771,4,1,975,"1",FALSE,FALSE
"2001","CCSSw","1",437,"4",21,"Corn","Corn","Swheat","Wheat","C3",FALSE,3,1.039720771,4,1,4153,"1",FALSE,FALSE
"2001","CCSSw","1",418,"4",22,"Corn","Corn","Swheat","Wheat","C3",FALSE,3,1.039720771,4,1,5564,"1",FALSE,FALSE
"2001","CCSSw","1",226,"2",21,"Corn","Corn","Swheat","Wheat","C3",FALSE,3,1.039720771,4,1,3322,"1",FALSE,FALSE
"2001","CCSSw","1",219,"2",22,"Corn","Corn","Swheat","Wheat","C3",FALSE,3,1.039720771,4,1,3912,"1",FALSE,FALSE
"2001","CCSSw","1",107,"1",24,"Swheat","Wheat","Swheat","Wheat","C3",FALSE,3,1.039720771,4,1,3572,"1",FALSE,FALSE
"2001","CCSSw","1",329,"3",22,"Corn","Corn","Swheat","Wheat","C3",FALSE,3,1.039720771,4,1,2737,"1",FALSE,FALSE
"2001","CCSSw","1",112,"1",23,"Soy","Soy","Swheat","Wheat","C3",FALSE,3,1.039720771,4,1,983,"1",FALSE,FALSE
"2001","CCSSw","1",315,"3",23,"Soy","Soy","Swheat","Wheat","C3",FALSE,3,1.039720771,4,1,1114,"1",FALSE,FALSE
"2001","CCSSw","1",211,"2",23,"Soy","Soy","Swheat","Wheat","C3",FALSE,3,1.039720771,4,1,852.06229127446,"1",FALSE,TRUE
"2001","CCSSw","1",228,"2",24,"Swheat","Wheat","Swheat","Wheat","C3",FALSE,3,1.039720771,4,1,3731,"1",FALSE,FALSE
"2001","CCSSw","1",119,"1",21,"Corn","Corn","Swheat","Wheat","C3",FALSE,3,1.039720771,4,1,3557,"1",FALSE,FALSE
"2001","CCSSw","1",429,"4",24,"Swheat","Wheat","Swheat","Wheat","C3",FALSE,3,1.039720771,4,1,3793,"1",FALSE,FALSE
"2001","CCSSw","1",115,"1",22,"Corn","Corn","Swheat","Wheat","C3",FALSE,3,1.039720771,4,1,4385,"1",FALSE,FALSE
"2001","CCSSw","1",322,"3",24,"Swheat","Wheat","Swheat","Wheat","C3",FALSE,3,1.039720771,4,1,3867,"1",FALSE,FALSE
"2001","COWwS","1",409,"4",29,"Corn","Corn","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,5384,"1",FALSE,FALSE
"2001","COWwS","1",129,"1",32,"Soy","Soy","Swheat","Wheat","C3",FALSE,4,1.386294361,4,1,770,"1",FALSE,FALSE
"2001","COWwS","1",204,"2",31,"Wwheat","Wheat","Swheat","Wheat","C3",TRUE,4,1.386294361,4,1,4807,"1",FALSE,FALSE
"2001","COWwS","1",318,"3",31,"Wwheat","Wheat","Swheat","Wheat","C3",TRUE,4,1.386294361,4,1,3953,"1",FALSE,FALSE
